Company Name,Address,email,Contact Number,Website
Grameenphone Limited,"GPHOUSE
Bashundhara,BaridharaDhaka-1229",info@grameenphone.com,880-1799882990,https://www.grameenphone.com/
Robi Axiata Limited,"53 Gulshan South Avenue, Dhaka 1212",123@robi.com.bd,1819400400,https://www.robi.com.bd/
Banglalink Digital Communications Ltd,"Tiger’s Den, House 4 (SW), Bir Uttam Mir Shawkat Sarak, Gulshan1, Dhaka 1212.",info@banglalink.net,1911304121,https://www.banglalink.net
Teletalk Bangladesh Limited,"Rajuk Commercial Complex
Holding # 3/A, 5/A, 7/A, Road # 17,Gulshan-1, Dhaka-1212
Bangladesh.",info@teletalk.com.bd,0155 015 4444,http://www.teletalk.com.bd/
Kazi IT center Ltd,"House No: 1B, Road No: 12, Nikunja-2, Khilkhat, Dhaka-1229",info@kaziitcenter.com,88-09613529448,https://kitcbd.com/
Tiger IT Bangladesh Limited,"House 21, Road 28, Block-K, Banani Model Town
Dhaka, 1213",,88028826716,http://www.tigerit.com
Brain Station 23,"8th floor, Plot-02, Amtoli, Bir Uttam Ak Khandaker Rd, Dhaka 1212",,1404055220,https://brainstation-23.com/
DataSoft Systems Bangladesh Limited,"Rupayan Shelford (20th Floor), 23/6, Mirpur Road, Shyamoli, Dhaka-1207, Bangladesh.",info@datasoft-bd.com,9609667788,http://datasoft-bd.com
IBCS-PRIMAX Software(Bangladesh) Limited,"House # 51, Road # 10A, Dhanmondi R/A,
Dhaka-1209, Bangladesh",info@ibcs-primax.com,58153970,http://www.ibcs-primax.com
Invento Bangladesh,"House no: 484 (4th Floor) , Road no 32, Mohakhali DOHS, Dhaka 1206",hello@invento.com.bd,880 1682 244 434,www.invento.com.bd
PRAN-RFL GROUP LTD,"PRAN-RFL Centre
105, Progoti Sarani Middle Badda
Dhaka 1212, Bangladesh",crd@prangroup.com,09613-737777,https://www.pranfoods.net/
Nestlé Bangladesh Limited,"227/A Bir Uttam Mir Showkat Ali Road, 1208 Tejgaon Farm, Dhaka, Bangladesh",,8000161271,https://www.nestle.com.bd/
Standard Chartered | Bangladesh,"Standard Chartered Bank,
67 Gulshan Avenue, Gulshan
Dhaka 1212, Bangladesh ",customer.enquiries@sc.com,88 02 55669900,https://www.sc.com/bd/
Dhaka Bank Limited,"71, Purana Paltan Lane, Dhaka",info@dhakabank.com.bd,5831 4624-8,https://dhakabankltd.com
City Bank Ltd,"136, Gulshan Avenue, Gulshan-2
Dhaka-1212, Bangladesh ",info@thecitybank.com.bd,58813126,https://www.thecitybank.com
United Commercial Bank Limited,"Plot - CWS- (A)-1
Road No - 34
Gulshan Avenue, Dhaka-1212", info@ucb.com.bd,88-02-55668070,https://www.ucb.com.bd
Eastern Bank Ltd,"Eastern Bank Ltd.
100 Gulshan Avenue
Dhaka-1212,
Bangladesh ", info@ebl.com.bd,88 09666777325 ,https://www.ebl.com.bd
BRAC Bank Limited,"Anik Tower, 220/B Bir Uttam Mir Shawkat Sarak, Dhaka 1208",enquiry@bracbank.com,8801311,https://www.bracbank.com
Islami Bank Bangladesh Limited,"Islami Bank Tower
40, Dilkusha C/A
Dhaka - 1000
Bangladesh",info@islamibankbd.com,9560099,https://www.islamibankbd.com
LankaBangla Finance,"Safura Tower (Level 11)20 Kemal Ataturk Avenue, Banani, Dhaka",info@lankabangla.com,(+88 02) 9883701-10,https://www.lankabangla.com
Uniliver Bangladesh,"Unilever Bangladesh Ltd 
ZN Tower, Plot# 02 
Road # 08, Gulshan - 1 
Dhaka - 1212. 
Unilever Bangladesh   ",careline.bd@unilever.com,880 2 988 8452  ,www.unilever.com.bd
Reckitt Benckiser Bangladesh ltd.,"Plot 2 (B)
Block SE (C), Road 138
Gulshan-1, Dhaka-1212
Bangladesh ",,88 02 988 7209 ,www.rb.com
GlaxoSmithKline plc,"House 2A, Road 138
Gulshan 1,Dhaka 1212
Bangladesh",gsk.bangladesh-info@gsk.com,88 02 985 8870,https://www.gsk.com/en-gb/contact-us/worldwide/bangladesh/
SQUARE GROUP,"SQUARE Centre 48, Mohakhali C/A Dhaka 1212, Bangladesh",info@squaregroup.com ,88-02-8833047-56 ,https://www.squaregroup.com/
Square Pharmaceuticals Ltd,"48, Mohakhali C/A
Dhaka 1212,
Bangladesh.",http://www.squarepharma.com.bd/contact-us.php,02-9859007,http://www.squarepharma.com.bd/
Square Toiletries Limited,"Rupayan Centre [12th Floor]

72, Mohakhali C/A, Dhaka-1212",,"880-2-9841531-40, Ext: 213",http://squaretoiletries.com
Square Food & Beverage Limited,"Square Food & Beverage Limited
Square Centre (6th Floor)
Corporate Head Quarter.
48, Mohakhali CA, Dhaka-1212.",sfblcareline@squaregroup.com,09-612-111-333,http://www.sfbl.com.bd
Square Informatix Limited,"Square Center (11th Floor),
48, Mohakhali C/A, Dhaka-1212, Bangladesh.",info@squarecloud.net,09613707070 - Ext 2057,https://www.squarecloud.net
"Beximco Pharmaceuticals Ltd.
"," H.No 19, R/A, Rd No. 7, Dhaka 1205",info@bpl.net,880-2-58611001-7,https://www.beximcopharma.com
Meghna Cement.,"Bashundhara Industrial Head Quarters, Plot-3,
Block-G (Umme Kulsum Road), Bashundhara R/A, Dhaka - 1229.",info.mcmlfactory@bg.com.bd,"88 02 8431024-8,",http://www.meghnacement.com/
Bashundhara Food & Beverage Industries Ltd.,"Bashundhara Industrial Head Quarters 2, Plot#56/A, Block#C, 2nd Avenue, Bashundhara R/A, Dhaka-1229, Bangladesh",bfbil@bg.com.bd,88-02-8431256-8,http://www.bashundharafood.com/
Bashundhara Industrial Complex Limited,"Plot# 3, Block# G, Umme Kulsum Road, Bashundhara R/A, Dhaka-1229",bashundhara.cement@bg.com.bd,880 2 8431024-8,http://www.bashundharacement.com/
Bashundhara Paper Mills Limited,"Bashundhara Industrial Headquarters- 2, Plot# 56/A, Block# C, Umme Kulsum Road, Bashundhara R/A, Dhaka-1229, Bangladesh",info.paper@bg.com.bd,88 02 8432289-93,http://www.bashundharapapermills.com/
haque group,"Ibrahim Chamber
95, Motijheel C/A (2nd & 3rd Floor)
Dhaka - 1000, Bangladesh.",info@haquegroupbd.com,880-2-9554670,https://www.haquegroupbd.com/
Cocola Food Products Ltd,"HOUSE # 14, ROAD # 16/A (2nd Floor) GULSHAN-1, Dhaka-1212, Bangladesh ",,88-01711-000000 ,http://www.cocolafood.net
Nabisco Biscuit and Bread Factory Ltd.,"77, Shaid Tajuddin Ahmed Sarani, Dhaka-1208, Bangladesh ",nabisco077@yahoo.com,01741-116813 ,
"
Romania Food & Beverage Ltd.
","House, 75, Gulshan Avenue, Road-30, Gulshan-1, Dhaka-1212, Bangladesh, ",,88-02-9888248,"
http://romania.com.bd/
"
Bengal Group of Industries,"75 Gulshan Avenue
Gulshan 1, Dhaka 1212
Bangladesh.",info@bengal.com.bd,880-2-9888248,https://www.bengalgroup.com
Transcom Limited,"Plot# 31, Road# 53

Gulshan North C.A, Gulshan-2, Dhaka-1212",estore@transcomdigital.com,1755558845,https://transcomdigital.com/
Symphony Mobile,"Rangs Babylonia

Level 6 - 9, 246 Bir Uttam Mir Shawkat Road, Tejgaon I/A, Dhaka-1208",https://www.symphony-mobile.com/contact-us.php,880 2 8878057,https://www.symphony-mobile.com/
Walton Group,"Plot-1088, Block-I, Sabrina Sobhan Road
    P.O-Khilkhet, P.S-Vatara,
    Bashundhara R/A, Dhaka-1229",info@waltonbd.com,008809606-555555,https://www.waltonbd.com/
Microsoft Bangladesh Limited,"Laila Tower, 4th Floor
8 Gulshan Avenue, Gulshan - 1
Dhaka 1212
Bangladesh ",,880-2-8832973-75 ,https://www.microsoft.com/en-us/contact_bn-bd.aspx
OTOBI LIMITED,"Plot 12, Block CWS (C)
Gulshan South Avenue, Gulshan 1,Dhaka 1212, Bangladesh.",info@otobi.com ,880 2-9863219-20,https://www.otobi.com/
IBCS-PRIMAX Software(Bangladesh) Limited,"House # 51, Road # 10A, Dhanmondi R/A,
Dhaka-1209, Bangladesh",info@ibcs-primax.com,58153970,http://www.ibcs-primax.com
Abul Khair Group (AKG," Plot # 15, Block #, CEN (A Baridhara Lake Trail West Side, Dhaka 1212",,02-8881221,http://www.abulkhairsteel.com
SK Corporation,"309,Al-Amin

Complex,Nawab-bari Road,

Bogra-5800, Bangladesh. ",skcorporation12@gmail.com ,01713-003817,https://skcorporation.webs.com
Siemens Bangladesh,,ccm.bd@siemens.com,(+8802) 9893536,http://www.siemens.com.bd
Ananda Group,,,,
LafargeHolcim Bangladesh Ltd," NinaKabbo , Level-7, 227/A , Bir Uttam Mir Shawkat Sarak,(Tejgaon gulshan Link Road) , Tejgaon, Dhaka -1208, Bangladesh",Info.ca@lafargeholcim.com ,880(2)9881002-3,www.lafargeholcim.com.bd/
HeidelbergCement Bangladesh Limited,"Symphony, Plot No - SE(F) 9, Road No - 142 (6th Floor)
Gulshan Avenue (South), Dhaka - 1212",info@heidelbergcementbd.com,88-02-58811691,https://www.heidelbergcementbd.com
"The Hongkong and Shanghai Banking Corporation Limited, Bangladesh (HSBC Bangladesh).","Level 4, Shanta Western Tower
186 Bir Uttam Mir Shawkat Ali Road
Tejgaon Industrial Area, Dhaka 1208",contact@hsbc.com.bd,880 966 633 1000,www.hsbc.com.bd
Bangladesh Edible Oil Limited (BEOL),"Land View Commercial Center (10th Floor)
28 Gulshan North C/A, Gulshan Circle 2
Dhaka 1212, Bangladesh",https://mail.beol-bd.com/owa/,880-2-58815319,http://www.beol-bd.com
KARNAPHULI FERTILZER COMPANY LIMITED,"IDB Bhaban (13th Floor)
E/8-A, Rokeya Sharani
Sher-e-Bangla Nagar
Dhaka 1207
Bangladesh",,880 (2) 918 3141,http://www.kafcobd.com/
 BSRM Limited,"Ali Mansion
1207/1099 Sadarghat Road
Chittagong, Bangladesh",mail@bsrm.com,880 31 2854901-10 ,https://bsrm.com/
RANGS GROUP,"117/A, Rangs Bhaban, Old Airport Road, Bijoy Sharani, Tejgaon, Dhaka-1215, Bangladesh.",https://www.rangsgroup.com/contact/,88 02 9136743,https://www.rangsgroup.com/
T. K. Group of Industries,"T. K. Bhaban (2nd Floor),
13, Karwan Bazar,
Dhaka-1215,
Bangladesh.",info@tkgroupbd.com,880-2-9115210,http://www.tkgroupbd.net
Rahimafrooz (Bangladesh) Ltd.,"Arzed Chamber
13 Mohakhali C/A, Dhaka 1212",,9893442-3,http://www.rahimafrooz.com
Bangladesh Petroleum Corporation,"BTMC Bhaban, 10th Floor, 7-9 Karwan Bazar, Dhaka.",,02-8189558,http://bpc.gov.bd/
,,,,http://jamunaoil.gov.bd/
Padma Oil Company Limited,"Padma Bhaban,Strand Road
Chattogram, Bangladesh", info@pocl.gov.bd,88 031 614235-7,http://pocl.gov.bd/
Titas Gas Transmission & Distribution Company Limited,"Zakir Complex, H No: K-218, Kuril Chou rasta, Progoti Sharani, Dhaka-1219",,1939921137,https://www.titasgas.org.bd
Ranks Telecom Limited,"Phoenix Tower (Level 8)
117, Tejgaon Industrial Area
Dhaka- 1208 ",customercare@rankstelecom.net,9617112233,http://rankstelecom.com
PETROBANGLA,"PETROCENTRE, 3 KAWRAN BAZAR C/A,
DHAKA-1215, BANGLADESH",info@petrobangla.org.bd,880 2 8189944,https://petrobangla.org.bd/
United Airways BD,"House # 7, Dolon Chapa (2nd floor), Road # 12, Sector # 1,
Uttara Model Town, Dhaka-1230 Bangladesh.",info@uabdl.com,880 2 8932338,http://www.uabdl.com/
NOVOAIR,"House-50, Road-11, Block-F, Banani. ",info@flynovoair.com,88-09666722224 ,https://www.flynovoair.com/
Regent Airways,"SA Tower (Level-5), Plot#1, Road#134, Block SE(A), Gulshan-1, Dhaka 1212 ",sales.gulshan@flyregent.com,8801730358840,http://www.flyregent.com
US-Bangla Airlines,"77, Sohrawardi Avenue, Baridhara Diplomatic Zone
Dhaka - 1212, Bangladesh.",info@usbair.com,9884818,https://usbair.com/
Ha-Meem Group,"387, Tejgaon Industrial Area
Dhaka-1208, Bangladesh ",delwar@hameemgroup.com,880-2-8170593 ,http://www.hameemgroup.net/
"Renata Limited,","Plot No. 1, Milk Vita Road, Section-7,
Mirpur, Dhaka-1216, Bangladesh,
GPO Box No. 303", info@renata-ltd.com,8001450-54,https://renata-ltd.com/
